Title,Type,Level,Publisher,Tag,Price(GHC),Image
Essential Writing Jhs 1,Textbook,Junior High Schools,Family Issues Series,,50,/Primary and Jhs/Vestel Series_/Family Issues Series_/IMG_1795
Religious & Moral Education (B7),Textbook,Junior High Schools,Flamingo Series,,70,/Primary and JHS/Flamingo Series/IMG_1822
Religious & Moral Education (B9),Textbook,Junior High Schools,Flamingo Series,,70,/Primary and JHS/Flamingo Series/IMG_1823
Religious & Moral Education (B9),Textbook,Junior High Schools,Flamingo Series,,70,/Primary and JHS/Flamingo Series/IMG_1824
Computing ,Textbook,Junior High Schools,ICT Solution,,150,/Primary and jhs/Kenmas/IMG_0437
English Grammar,Textbook,Junior High Schools,Junior Scholars Series,,65,/Primary and jhs/JHS/IMG_1987
Mathematics ,Textbook,Junior High Schools,Kwadwoan Publishing,,105,/Primary and jhs/Kwadwoan Series/IMG_1564
Social Studies,Textbook,Junior High Schools,Kwadwoan Publishing,,85,/Primary and jhs/Kwadwoan Series/IMG_1565
Religious and Moral Education ,Textbook,Junior High Schools,Kwadwoan Publishing,,70,/Primary and jhs/Kwadwoan Series/IMG_1566
French ,Textbook,Junior High Schools,Kwadwoan Publishing,,70,/Primary and jhs/Kwadwoan Series/IMG_1567
Science Basic 7,Textbook,Junior High Schools,Kwadwoan Publishing,,105,/Primary and jhs/Kwadwoan Series/IMG_1568
Science Basic 9,Textbook,Junior High Schools,Kwadwoan Publishing,,105,/Primary and jhs/Kwadwoan Series/IMG_1569
French Basic 8,Textbook,Junior High Schools,Kwadwoan Publishing,,105,/Primary and jhs/Kwadwoan Series/IMG_1570
Career Technology basic 8,Textbook,Junior High Schools,Masterman Publishing ,,70,/Primary and Jhs/Master Man/IMG_1534
Creative Arts & Design basic 8 ,Textbook,Junior High Schools,Masterman Publishing ,,70,/Primary and Jhs/Master Man/IMG_1535
Contemporary Science basic 8,Textbook,Junior High Schools,Masterman Publishing ,,85,/Primary and Jhs/Master Man/IMG_1536
Ahyese Mfantse Kasasua Buukuu 8,Textbook,Junior High Schools,Mega Series,,70,/Primary and jhs/JHS/IMG_1988
Ahyese Mfantse Kasasua Buukuu 9,Textbook,Junior High Schools,Mega Series,,70,/Primary and jhs/JHS/IMG_1989
Essential Religious & Moral Education (B7),Textbook,Junior High Schools,NNF Books,,85,/Primary and JHS/Essential_/IMG_9932
Essential Social Studies (B7),Textbook,Junior High Schools,NNF Books,,85,/Primary and JHS/Essential_/IMG_9933
Essential Computing (B7),Textbook,Junior High Schools,NNF Books,,85,/Primary and JHS/Essential_/IMG_9934
Essential English (B7),Textbook,Junior High Schools,NNF Books,,85,/Primary and JHS/Essential_/IMG_9935
Essential Science (B7),Textbook,Junior High Schools,NNF Books,,85,/Primary and JHS/Essential_/IMG_9936
Essential Career Technology (B9),Textbook,Junior High Schools,NNF Books,,85,/Primary and JHS/Essential_/IMG_9937
Essential Science (B1),Textbook,Junior High Schools,NNF Books,,85,/Primary and JHS/Essential_/IMG_9938
Career Technology (B9),Textbook,Junior High Schools,NNF Books,,85,/Primary and JHS/Essential_/IMG_9963
Essential English (B9),Textbook,Junior High Schools,NNF Books,,85,/Primary and JHS/Essential_/IMG_9964
Essential Science (B8),Textbook,Junior High Schools,NNF Books,,85,/Primary and JHS/Essential_/IMG_9965
Essential English (B1),Textbook,Junior High Schools,NNF Books,,85,/Primary and JHS/Essential_/IMG_9966
Science ,Textbook,Junior High Schools,Perfect Series,,150,/Primary and jhs/JHS/IMG_1982
Social Studies And  Religious & Moral Education,Textbook,Junior High Schools,Prep Series,,60,/Primary and Jhs/Prep/IMG_0462
HA W)KASE GA basic 9,Textbook,Junior High Schools,Springfields Publications,,65,/Primary and Jhs/vestel Series_/Ha wakase ga/IMG_1829
HA W)KASE GA basic 8,Textbook,Junior High Schools,Springfields Publications,,65,/Primary and Jhs/vestel Series_/Ha wakase ga/IMG_1830
HA W)KASE GA basic 7,Textbook,Junior High Schools,Springfields Publications,,65,/Primary and Jhs/vestel Series_/Ha wakase ga/IMG_1831
BA W)KANE GA 1-3,Textbook,Junior High Schools,Springfields Publications,,100,/Primary and Jhs/vestel Series_/Ha wakase ga/IMG_1832
Creative Arts and Design,Textbook,Junior High Schools,Successlink,,100,/Primary and jhs/JHS/IMG_1983
Religious and Moral Education,Textbook,Junior High Schools,Successlink,,100,/Primary and jhs/JHS/IMG_1984
Career Technology,Textbook,Junior High Schools,Successlink,,100,/Primary and jhs/JHS/IMG_1985
Social Studies,Textbook,Junior High Schools,Successlink,,100,/Primary and jhs/JHS/IMG_1986
Mathematics Practica Questions & Answers Simplified,Textbook,Junior High Schools,Tamak Series,,60,/Primary and Jhs/Tamak/IMG_0453
Computing  Practical & Answers Simplified,Textbook,Junior High Schools,Tamak Series,,60,/Primary and Jhs/Tamak/IMG_0454
Religious And Moral Education Practical ,Textbook,Junior High Schools,Tamak Series,,60,/Primary and Jhs/Tamak/IMG_0455
Career Technology  Practical,Textbook,Junior High Schools,Tamak Series,,60,/Primary and Jhs/Tamak/IMG_0456
Computing for Jhs  7 ,Textbook,Junior High Schools,Victory Series,,65,/Primary and Jhs/Victory Series_/IMG_1633
Religious and Moral Education Basic 7,Textbook,Junior High Schools,Victory Series,,65,/Primary and Jhs/Victory Series_/IMG_1634
Religious and Moral Education Basic 9,Textbook,Junior High Schools,Victory Series,,65,/Primary and Jhs/Victory Series_/IMG_1635
Career Technology basic 7-9,Textbook,Junior High Schools,Victory Series,,150,/Primary and Jhs/Victory Series_/IMG_1661
Creative Arts and Design basic 7-9,Textbook,Junior High Schools,Victory Series,,150,/Primary and Jhs/Victory Series_/IMG_1662
Essentials of Graphic Design Volume 1,Textbook,Junior High Schools,Whimsey Press Ltd.,,100,/SecSchool/Visual Art/IMG_0945
Essentials of Graphic Design Volume 2,Textbook,Junior High Schools,Whimsey Press Ltd.,,100,/SecSchool/Visual Art/IMG_0946
Twi Adesua Ne Dwumadie Nwoma Bi(Asante Twi),Textbook,Junior High Schools,Bedozer Series,,70,/SecSchool/Bedozer Series 2/IMG_1700
Twi Adesua Ne Dwumadi Nhoma Bi(Akuapem Twi),Textbook,Junior High Schools,Bedozer Series,,70,/SecSchool/Bedozer Series 2/IMG_1695
Twi Adesua Ne Dwumadie Nwoma Bi(Asante Twi),Textbook,Junior High Schools,Bedozer Series,,70,/SecSchool/Bedozer Series 2/IMG_1699
Twi Adesua Ne Dwumadie Nwoma Bi(Asante Twi),Textbook,Junior High Schools,Bedozer Series,,70,/SecSchool/Bedozer Series 2/IMG_1698
Creative Arts (KG1),Activity Book,Preschool,EBS,,60,/Primary and JHS/EBS_/IMG_0197
Numeracy (KG2),Activity Book,Preschool,EBS,,60,/Primary and JHS/EBS_/IMG_0199
Literacy (KG2),Activity Book,Preschool,EBS,,60,/Primary and JHS/EBS_/IMG_0200
Essential Arts and Colouring Nursery 1 & 2,Activity Book,PreSchool,NNF Books,,50,/PreSchool/NNF/IMG_9630
Essential Montessori English Reading and Comprehension KG 2,Activity Book,PreSchool,NNF Books,,50,/PreSchool/NNF/IMG_9633
Scribbling and Colouring Activities Nursery 1,Activity Book,PreSchool,Pace Learning Resources Publishing ,,50,/Preschool/pace/IMG_1390
Science Level 2 5+ Years,Activity Book,PreSchool,Pace Learning Resources Publishing ,,50,/Preschool/pace/IMG_1391
Number Tracing ,Activity Book,PreSchool,Pace Learning Resources Publishing ,,50,/Preschool/pace/IMG_1392
Letter Tracing,Activity Book,PreSchool,Pace Learning Resources Publishing ,,50,/Preschool/pace/IMG_1393
My First 123 Colouring Book 3+ Years,Activity Book,PreSchool,Pace Learning Resources Publishing ,,50,/Preschool/pace/IMG_1394
My First abc Colouring Book 3+ Years,Activity Book,PreSchool,Pace Learning Resources Publishing ,,50,/Preschool/pace/IMG_1396
Colouring and Writing,Activity Book,PreSchool,Perfect Series,,57,/PreSchool/Perfect_/IMG_9582
Numeracy Activities KG 1,Activity Book,PreSchool,Unique Field,,45,/PreSchool/Unique Field/IMG_9646
Phonics Activities KG 2,Activity Book,PreSchool,Unique Field,,45,/PreSchool/Unique Field/IMG_9652
Numeracy Activities KG 2,Activity Book,PreSchool,Unique Field,,45,/PreSchool/Unique Field/IMG_9654
Literacy Activities KG 1,Activity Book,PreSchool,Unique Field,,45,/PreSchool/Unique Field/IMG_9655
Phonics Activities Nursery 1,Activity Book,PreSchool,Unique Field,,45,/PreSchool/Unique Field/IMG_9657
Numeracy Activities Nursery 1,Activity Book,PreSchool,Unique Field,,45,/PreSchool/Unique Field/IMG_9658
Numeracy Activities Nursery 2,Activity Book,PreSchool,Unique Field,,45,/PreSchool/Unique Field/IMG_9659
Tracing & Colouring Nursery,Activity Book,PreSchool,Wise Ant,,40,/PreSchool/Wise Ant/IMG_9586
Tracing and Colouring KG,Activity Book,PreSchool,Wise Ant,,50,/PreSchool/Wise Ant/IMG_9590
Prewriting Activity Book for Starters,Activity Book,PreSchool,Advocate Publishing,,40,/PreSchool/Advocate/IMG_9591
Language Activity (Nursery 1),Activity Book,PreSchool,Advocate Publishing,,40,/PreSchool/Advocate/IMG_9592
Language Activity (Nursery 2),Activity Book,PreSchool,Advocate Publishing,,40,/PreSchool/Advocate/IMG_9593
